Nat,Driver,Team Image,Team,Car,Class,Discord,Gamertag,Platform,Racenet,Standings,Flag,Twitter,Club
,Tibernius,,privateer,,JRC2,Tibernius#9341,Tibernius,PC,Tibernius,Tibernius,Slovenia,,X
,Trollikene,FPS,FPS,,JRC2,Trollikene,Trollikene,PC,Trollikene,Trollikene,Estonian,Trollikene,X
,Zeppelin,,Flat Out,,JRC2,Zeppelin#1587,Glenowan,PC,Glenowan,Zeppelin (Discord),Singapore,,X
,Lebzz,,BR Dragons,,JRC3,thelebzz,TheLebzzTV,PC,TheLebzz,Lebzz,Slovenian,TheLebzzTV,
,LKS RaVeN,,BR Dragons,,JRC3,LKS_RaVeN,LKSRaVeN,PC,LKS | RaVeN,LKS RaVeN,Japanese,,
,Maikeru,,BR Dragons,,JRC3,Ishiju,Akaitomea,PC,Maikeru,Maikeru,Madagascar,,
,CatchABee,,BR Dragons,,JRC3,CatchABee,CatchABee,PC,Catch ABee,Gamertag,India,CatchABeeTV,
,KasualKevTV,,BR Cobras,,JRC3,KasualKevTV,KasualKevTV,PC,KasualKevTV,KasualKevTV,USA,KasualKevTV,
,mradical,,BR Cobras,,JRC3,mradical,mradical,PC,mradical314,mradical,American ,,
,Gunsforhands,,BR Cobras,,JRC3,Gunsforhands#6221,gunsforhands,PC,Gunsforhands,Gunsforhands,U.S.A.,Gunsforwhatever ,
,TheOnlyDuken,,BR Cobras,,JRC3,Roberto Chierchia/TheOnlyDuken#7991,Roberto/TheOnlyDuken,PC,TheOnlyDuken,Racenet,Italy or Sicily if available,I don't use Twitter but it is TheOnlyDuken,
,Angel2123,,BR Bears,,JRC3,EnsomUlv#0291,Angel2123,PC,MustangMan2123,Angel2123,Norwegian,LoneWolf_Ltd,
,OFFKEY40,,BR Bears,,JRC3,OFFKEY40,OFFKEY40,PC,OFFKEY40,OFFKEY40,Union Jack (British),,
,J4mie,,BR Bears,,JRC3,J4mie_m,J4mie_m,PC,J4mie,J4mie,Union Jack,j4mie_m,
,Touchdown,,BR Bears,,JRC3,Touchdown,TTVxTouchdowns,PC,TTVxTouchdowns,Touchdown,USA,xTouchdownsx,
,Alex Chernavin,,Flat Out,,JRC3,Alex Chernavin#7718,yupi13,PC,Yupii,Alex Chernavin,Russia,,
,David G-strom6,,Flat Out,,JRC3,G-strom6 - (PSN davidgrundstrom,G-strom6,PS4,davidgrundstrm,David G-strom6,Sweden,,
,TEriksson,,Flat Out,,JRC3,ebbot555,ebbot555,PS4,TEriksson,TEriksson,Swedish,,
,Hawkstream,,Flat Out,,JRC3,WeWerePromisedRobots#3560,Hawkstream,PC,Hawkstream,Hawkstream,USA,,
,Edwinsimo,,Half Out,,JRC3,Edwinsimo,Edwinsimo,XBOX,Edwinsimo,Edwinsimo,Italy,"No twitter, sorry",
,Gabriel Legnini,,Half Out,,JRC3,Gabriel Legnini,pai_deadwing,PC,pai_deadwing,Gabriel Legnini,Argentina,,
,Nachaso,,Half Out,,JRC3,NachoPena,Nachaso,PC,NachoRock,Nachaso,Uruguay,@runkiosco,
,ninko,,Half Out,,JRC3,ninko,ninko ,PC,ninko,ninko,Estonian,@SilverOnRacing,
,E4TDU5T,,LVR,,JRC3,Jaguarxkr05#6756 ,JAGUAR XKR05,XBOX,E4TDU5T,Racenet,German,,
,furtif543,,LVR,,JRC3,furtif543,furtif543,XBOX,furtif543,furtif543,france,@ChouletValentin,
,SimplyPakistani,,IM,,JRC3,IM Simply Pakistani,IM-SimplyPakistani,PC,SimplyPakistani,IM-SimplyPakistani,Pakistan,@pakistanisimply,
,trekbiker70 ,,IM,,JRC3,trekbiker70 ,trekbiker70 ,PS4,trekbiker70 ,trekbiker70 ,Germany ,,
,TUS Conspiracy,,TUS,,JRC3,TUS Conspiracy,señor conspicc,PC,conspicc,Discord ,Polish ,@TUS_Conspiracy,
,AssuredDwarf65,,Ramrod,,JRC3,AssuredDwarf65,AssuredDwarf65,XBOX,AssuredDwarf65,AssuredDwarf65,Missouri,,
,Domicam516 ,,Ramrod,,JRC3,Domicam516 ,Domicam516 ,XBOX,Domicam516 ,Domicam516 ,Scottish,,
,JoaoSantos,,Ramrod,,JRC3,joaosantos87,JoaoSantos,PC,joao_santos87,JoaoSantos,Madeira,,
,JGOERTZ5,,OSIF,,JRC3,JGOERTZ5,JGOERTZ5,,JGOERTZ5,,,,
,automan24,,OSIF,,JRC3,automan24,automan24,PS4,automan2400,automan24,Canada,,
,Braydon_a68,,OSIF,,JRC3,Braydon_a68,Braydon_68,PS4,braydon_68,Braydon_a68,🇨🇦,,
,Robbie Arthur,,OSIF,,JRC3,Robbie Arthur 67,RECKTUM_ROB,PS4,Robbie Arthur,Racenet,Canadian ,,
,J.Molin,FPA,FPA,,JRC3,JMolin,J.Molin,PC,JMolin,J.Molin,Sweden,,
,ShrykeAbyss,FPA,FPA,,JRC3,ShrykeAbyss,ShrykeAbyss,PC,ShrykeAbyss,ShrykeAbyss,Scotland,,
,Timmik,FPA,FPA,,JRC3,Timm1k,Timmik,PC,Timiko,Steam name (Timmik),Polish,@rudajalisica,
,Flanzig,,Turbo Drift,,JRC3,Flanzig,RoboFrance_29,PS4,Renegadeoffunk0,Flanzig,USA,@SigourneyWeinr,
,oakts,,Turbo Drift,,JRC3,oakts#0700,oakts,PC,oakts,oakts,USA,n/a,
,ThemazinRazer,,Turbo Drift,,JRC3,ThemazinRazer6,ThemazinRazer,PS4,ThemazinRazer,ThemazinRazer,Canada,@ThemazinR,
,João Almeida,,Sato,,JRC3,almeida.rodrigues[PC],João Almeida,PC,almeidarodrigu,João Almeida,Portuguese,,
,PRZJoker,,Sato,,JRC3,Abibas#4202,PRZJoker,PC,PRZJoker,RaceNet PRZJoker,Polish,I don't have twitter ,
,OLIWRC123,,,,JRC3,Oliver Waggett ,OLIWRC123,XBOX,Ollyrally66 ,OLIWRC123,UK,Oliver Waggett,
,Stirls23,,privateer,,JRC3,Stirls23,Stirls23 ,PS4,Stirls23,Stirls23,Australia,,
,DoYouFeelIt?,,privateer,,JRC3,,,,,,,,
,DarrellWRC,,,,JRC3,,,,,,,,
