SS;Stage name;Nationality;User name;Real name;Group;Car name;time1;time2;time3;Finish realtime;Penalty;Service penalty;Super rally;Progress;Comment
1;Harju 2019;FI;QazRa;J.A;Group 4;Porsche 911 SC 3.0 Grp4;31.0343;83.3876;118.655;2022-10-09 15:20:50;;;;F;Not a bad start, lets see how itll go
1;Harju 2019;ES;TASIS Edgar;Edgar Tasis Suarez;Group 4;Opel Ascona 400 Grp4;31.0345;84.1366;119.809;2022-10-08 23:22:56;;;;F;
1;Harju 2019;EE;ninko;Silver J&#245ffert;Group 4;Porsche 911 SC 3.0 Grp4;31.4703;83.8177;119.867;2022-10-09 13:39:58;;;;F;nooo went wide in the 1st corner and lost the stage
1;Harju 2019;DE;Hawk24;Alexander Merz;Group 4;Ford Escort Mk II RS Grp4;31.8689;86.2238;122.918;2022-10-09 22:09:05;;;;F;
1;Harju 2019;US;HotdogCowboy;Calvin;Group 4;Porsche 911 SC 3.0 Grp4;30.7983;86.8289;123.988;2022-10-09 22:41:31;;;;F;
1;Harju 2019;BE;THELC Matt;THELC Matt;Group 4;Porsche 911 SC 3.0 Grp4;31.4345;87.0584;124.331;2022-10-03 20:09:38;;;;F;kek retired after the finish
1;Harju 2019;BR;Htchet;HBM;Group 4;Lancia Stratos HF Grp4;32.0805;88.6656;124.942;2022-10-04 20:38:48;;;;F;
1;Harju 2019;SE;Weepy;Jonas Gustafsson;Group 4;Lancia Stratos HF Grp4;31.1797;87.7243;126.043;2022-10-04 15:07:37;;;;F;
1;Harju 2019;;Erki Erik Poola;;Group 4;Ford Escort Mk II RS Grp4;32.3177;88.5567;126.198;2022-10-06 15:41:20;;;;F;
1;Harju 2019;GB;PETTET Jordan;Shakey Deal;Group 4;Lancia Stratos HF Grp4;32.0816;88.5834;126.523;2022-10-03 19:20:40;;;;F;cautiosus 
1;Harju 2019;DE;Maximilian Maksy;Maximilian Werner;Group 4;Opel Ascona 400 Grp4;32.5563;87.8344;126.575;2022-10-04 20:04:18;;;;F;
1;Harju 2019;DE;Kringelwurst;RICHTER Erik;Group 4;Porsche 911 SC 3.0 Grp4;30.6317;88.3697;127.426;2022-10-07 16:04:44;;;;F;
1;Harju 2019;HU;fujiRS;Nagy Sándor;Group 4;Opel Ascona 400 Grp4;36.0038;90.8898;127.7;2022-10-03 13:49:38;;;;F;stalled, hate these mickey mouse stages
1;Harju 2019;AU;satchmo;Tom Kidman;Group 4;Porsche 911 SC 3.0 Grp4;32.0462;88.8422;128.596;2022-10-08 02:55:29;;;;F;
1;Harju 2019;EE;MartinRC;Martin Ritson;Group 4;Ford Escort Mk II RS Grp4;32.4466;90.2717;129.479;2022-10-04 20:43:36;;;;F;
1;Harju 2019;NO;Roy Magnes;Roy Magnes;Group 4;Ford Escort Mk II RS Grp4;32.8833;92.7328;129.868;2022-10-05 19:39:05;;;;F;Hit a bale, and spun later. Hope the car is ok...
1;Harju 2019;ES;dejota95;Dani J.;Group 4;Opel Ascona 400 Grp4;35.1107;91.4974;130.233;2022-10-10 10:04:43;;;;F;
1;Harju 2019;GB;FAHEY Andrew;maximo4_;Group 4;Ford Escort Mk II RS Grp4;33.2432;89.9929;130.587;2022-10-08 14:50:12;;;;F;Cocked up the last corner
1;Harju 2019;SE;Tommie Lindberg;Tommie Lindberg;Group 4;Opel Ascona 400 Grp4;33.9941;93.4663;130.871;2022-10-05 21:28:43;;;;F;
1;Harju 2019;IT;Superciuc93;Federico Calgaro;Group 4;Ford Escort Mk II RS Grp4;33.8261;93.3117;133.464;2022-10-09 23:22:24;;;;F;
1;Harju 2019;SE;davidgrundstrom;David Grundström;Group 4;Opel Ascona 400 Grp4;33.1502;93.7214;133.724;2022-10-05 15:13:26;;;;F;
1;Harju 2019;KR;Prodicrux;Sukwon Yi;Group 4;Opel Ascona 400 Grp4;34.6718;94.7477;136.045;2022-10-08 03:00:52;;;;F;
1;Harju 2019;EE;thezenorr;Hugo Rüütli;Group 4;Ford Escort Mk II RS Grp4;35.2483;97.5034;141.155;2022-10-05 16:47:40;;;;F;amazing
1;Harju 2019;SE;Bollis;Tommi;Group 4;Ford Escort Mk II RS Grp4;39.7142;103.727;143.835;2022-10-03 22:04:59;;;;F;
1;Harju 2019;AU;Jezza;Jeremy Bramble;Group 4;Opel Ascona 400 Grp4;34.8713;101.157;143.85;2022-10-08 09:13:29;;;;F;was so focused on later stages i didnt even know this abomination was in here
1;Harju 2019;SE;ctbr;Tomas Reinicke;Group 4;Ford Escort Mk II RS Grp4;36.7483;107.046;148.43;2022-10-08 10:15:28;;;;F;
1;Harju 2019;DE;Thom B;Thomas B;Group 4;Porsche 911 SC 3.0 Grp4;35.9673;178.5;178.5;2022-10-07 16:37:19;;;1;F;
1;Harju 2019;US;meatcreap;Larry Chüper;Group 4;Ford Escort Mk II RS Grp4;33.4318;231.039;271.852;2022-10-10 04:49:04;;;;F;WOW
2;Sarvana II;DE;Hawk24;Alexander Merz;Group 4;Ford Escort Mk II RS Grp4;74.6171;168.941;238.898;2022-10-09 22:13:40;;;;F;
